#   GLON      GLAT      VLSR     MLON      MLAT
  291.1365  -70.5489   97.50  -38.2886    2.9148
  291.1451  -70.4975   98.19  -38.2394    2.8992
  291.1536  -70.4461   98.88  -38.1903    2.8837
  291.1621  -70.3946   99.57  -38.1411    2.8681
  291.1706  -70.3432  100.26  -38.0919    2.8526
  291.1790  -70.2917  100.95  -38.0427    2.8370
  291.1873  -70.2403  101.64  -37.9935    2.8215
  291.1957  -70.1888  102.25  -37.9443    2.8059
  291.2039  -70.1374  102.71  -37.8952    2.7903
  291.2121  -70.0859  103.17  -37.8460    2.7748
  291.2203  -70.0345  103.63  -37.7968    2.7592
  291.2284  -69.9830  104.09  -37.7476    2.7437
  291.2365  -69.9315  104.55  -37.6984    2.7281
  291.2445  -69.8801  105.00  -37.6493    2.7126
  291.2525  -69.8286  105.46  -37.6001    2.6970
  291.2604  -69.7772  105.92  -37.5509    2.6814
  291.2683  -69.7257  106.38  -37.5017    2.6659
  291.2761  -69.6742  106.84  -37.4525    2.6503
  291.2680  -69.6242  107.30  -37.4033    2.6405
  291.2543  -69.5747  107.76  -37.3542    2.6327
  291.2405  -69.5252  108.22  -37.3050    2.6249
  291.2269  -69.4757  108.68  -37.2558    2.6172
  291.2133  -69.4262  109.14  -37.2066    2.6094
  291.1997  -69.3767  109.60  -37.1574    2.6016
  291.1862  -69.3272  110.07  -37.1083    2.5938
  291.1728  -69.2776  111.14  -37.0591    2.5860
  291.1594  -69.2281  112.21  -37.0099    2.5783
  291.1461  -69.1786  113.28  -36.9607    2.5705
  291.1328  -69.1291  114.36  -36.9115    2.5627
  291.1196  -69.0796  115.43  -36.8623    2.5549
  291.1064  -69.0300  116.50  -36.8132    2.5471
  291.0757  -68.9821  117.32  -36.7640    2.5459
  291.0417  -68.9345  117.87  -36.7148    2.5459
  291.0078  -68.8869  118.42  -36.6656    2.5459
  290.9741  -68.8393  118.97  -36.6164    2.5459
  290.9406  -68.7917  119.52  -36.5673    2.5459
  290.9072  -68.7441  120.08  -36.5181    2.5459
  290.8739  -68.6965  120.63  -36.4689    2.5459
  290.8407  -68.6488  121.18  -36.4197    2.5459
  290.8077  -68.6012  121.73  -36.3705    2.5459
  290.7748  -68.5536  122.28  -36.3213    2.5459
  290.7421  -68.5059  122.84  -36.2722    2.5459
  290.7095  -68.4583  123.18  -36.2230    2.5459
  290.6770  -68.4106  123.41  -36.1738    2.5459
  290.6447  -68.3629  123.64  -36.1246    2.5459
  290.6125  -68.3153  123.87  -36.0754    2.5459
  290.5804  -68.2676  124.10  -36.0263    2.5459
  290.5484  -68.2199  124.33  -35.9771    2.5459
  290.5166  -68.1722  124.56  -35.9279    2.5459
  290.4849  -68.1245  124.79  -35.8787    2.5459
  290.4533  -68.0768  125.02  -35.8295    2.5459
  290.4219  -68.0291  125.10  -35.7803    2.5459
  290.3905  -67.9814  125.18  -35.7312    2.5459
  290.3593  -67.9337  125.26  -35.6820    2.5459
  290.3282  -67.8860  125.33  -35.6328    2.5459
  290.2973  -67.8382  125.41  -35.5836    2.5459
  290.2665  -67.7905  125.49  -35.5344    2.5459
  290.2357  -67.7427  125.56  -35.4852    2.5459
  290.2051  -67.6950  125.64  -35.4361    2.5459
  290.1747  -67.6473  125.72  -35.3869    2.5459
  290.1443  -67.5995  125.79  -35.3377    2.5459
  290.1589  -67.5476  125.87  -35.2885    2.5283
  290.1879  -67.4944  125.95  -35.2393    2.5050
  290.2169  -67.4411  126.02  -35.1902    2.4816
  290.2456  -67.3878  126.24  -35.1410    2.4583
  290.2743  -67.3346  126.47  -35.0918    2.4350
  290.3028  -67.2813  126.70  -35.0426    2.4116
  290.3312  -67.2280  126.93  -34.9934    2.3883
  290.3595  -67.1747  127.16  -34.9442    2.3650
  290.3845  -67.1217  127.39  -34.8951    2.3428
  290.3931  -67.0703  127.62  -34.8459    2.3273
  290.4017  -67.0189  127.85  -34.7967    2.3117
  290.4102  -66.9674  128.17  -34.7475    2.2962
  290.4187  -66.9160  128.74  -34.6983    2.2806
  290.4272  -66.8645  129.32  -34.6492    2.2651
  290.4356  -66.8131  129.89  -34.6000    2.2495
  290.4440  -66.7617  130.47  -34.5508    2.2339
  290.4523  -66.7102  131.04  -34.5016    2.2184
  290.4606  -66.6588  131.62  -34.4524    2.2028
  290.4689  -66.6073  132.19  -34.4032    2.1873
  290.4771  -66.5559  132.76  -34.3541    2.1717
  290.4852  -66.5044  133.40  -34.3049    2.1562
  290.5133  -66.4510  134.09  -34.2557    2.1324
  290.5968  -66.3920  134.78  -34.2065    2.0857
  290.6798  -66.3330  135.47  -34.1573    2.0391
  290.7625  -66.2739  136.16  -34.1082    1.9924
  290.8448  -66.2148  136.85  -34.0590    1.9457
  290.9266  -66.1556  137.54  -34.0098    1.8990
  291.0081  -66.0964  138.23  -33.9606    1.8524
  290.9983  -66.0467  138.92  -33.9114    1.8438
  290.9682  -65.9990  139.57  -33.8622    1.8438
  290.9382  -65.9514  140.21  -33.8131    1.8438
  290.9083  -65.9038  140.86  -33.7639    1.8438
  290.8785  -65.8562  141.50  -33.7147    1.8438
  290.8488  -65.8086  142.15  -33.6655    1.8438
  290.8193  -65.7609  142.79  -33.6163    1.8438
  290.7898  -65.7133  143.43  -33.5672    1.8438
  290.7604  -65.6656  144.08  -33.5180    1.8438
  290.7311  -65.6180  144.72  -33.4688    1.8438
  290.7020  -65.5703  145.36  -33.4196    1.8438
  290.6729  -65.5227  146.02  -33.3704    1.8438
  290.6440  -65.4750  146.93  -33.3212    1.8438
  290.6151  -65.4273  147.85  -33.2721    1.8438
  290.5864  -65.3796  148.77  -33.2229    1.8438
  290.5577  -65.3320  149.69  -33.1737    1.8438
  290.5292  -65.2843  150.61  -33.1245    1.8438
  290.5007  -65.2366  151.53  -33.0753    1.8438
  290.4724  -65.1889  152.45  -33.0262    1.8438
  290.4441  -65.1412  153.37  -32.9770    1.8438
  290.4160  -65.0935  154.20  -32.9278    1.8438
  290.3879  -65.0458  154.84  -32.8786    1.8438
  290.3600  -64.9980  155.48  -32.8294    1.8438
  290.3321  -64.9503  156.13  -32.7802    1.8438
  290.3043  -64.9026  156.77  -32.7311    1.8438
  290.2767  -64.8549  157.41  -32.6819    1.8438
  290.2491  -64.8071  158.06  -32.6327    1.8438
  290.2216  -64.7594  158.70  -32.5835    1.8438
  290.1942  -64.7116  159.34  -32.5343    1.8438
  290.1669  -64.6639  159.99  -32.4852    1.8438
  290.1483  -64.6152  160.63  -32.4360    1.8400
  290.1329  -64.5662  161.49  -32.3868    1.8348
  290.1176  -64.5173  162.56  -32.3376    1.8297
  290.1023  -64.4683  163.63  -32.2884    1.8245
  290.0871  -64.4193  164.71  -32.2392    1.8193
  290.0719  -64.3703  165.78  -32.1901    1.8141
  290.0568  -64.3213  166.85  -32.1409    1.8089
  290.0417  -64.2723  167.92  -32.0917    1.8037
  290.0267  -64.2233  170.65  -32.0425    1.7985
  290.0117  -64.1743  173.41  -31.9933    1.7934
  289.9967  -64.1253  176.17  -31.9442    1.7882
  289.9819  -64.0763  178.93  -31.8950    1.7830
  289.9670  -64.0273  180.26  -31.8458    1.7778
  289.9522  -63.9783  180.78  -31.7966    1.7726
  289.9375  -63.9293  181.31  -31.7474    1.7674
  289.9228  -63.8803  181.83  -31.6982    1.7622
  289.9082  -63.8313  182.36  -31.6491    1.7571
  289.8936  -63.7823  182.88  -31.5999    1.7519
  289.8791  -63.7332  183.41  -31.5507    1.7467
  289.8646  -63.6842  183.93  -31.5015    1.7415
  289.8501  -63.6352  184.46  -31.4523    1.7363
  289.8357  -63.5862  184.98  -31.4032    1.7311
  289.8214  -63.5372  185.51  -31.3540    1.7259
  289.8070  -63.4882  186.04  -31.3048    1.7208
